turn_onset,turn_end,turn_duration,speaker_name
0.655,6.393,5.738,SPEAKER_00
6.511,6.832,0.321,SPEAKER_01
6.832,7.136,0.304,SPEAKER_00
7.642,7.676,0.034,SPEAKER_00
8.232,9.616,1.384,SPEAKER_00
